CMOR Table fx: Time-Invariant Fields,,,,,fx,fx,,,,,,,,,,,,,,,,
on atmospheric grid,,,,,,,,,,,,,,,,,,,,,,
"Atmospheric and land fields may be submitted on a (single) grid of the modeling group's choosing.  We expect most groups will elect to save output on the native grid.  If data is ""interpolated"" to a different grid, it is important to preserve certain global mean properties (e.g., the total surface fluxes of heat, momentum, and water mass).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1.0,Atmosphere Grid-Cell Area,m2,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",areacella,cell_area,,m2,,100000.0,1e+12,100000.0,1e+12,,real,longitude latitude,areacella,atmos land,,,,
1.0,Surface Altitude,m,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean).",,orog,surface_altitude,,m,,-700.0,10000.0,,,,real,longitude latitude,orog,atmos,,area: areacella,,
1.0,Land Area Fraction,%,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",sftlf,land_area_fraction,,%,,0.0,100.0,,,,real,longitude latitude,sftlf,atmos,,area: areacella,,
1.0,Fraction of Grid Cell Covered with Glacier,%,"fraction of grid cell occupied by ""permanent"" ice (i.e., glaciers).  "," For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",sftgif,land_ice_area_fraction,,%,,0.0,100.0,,,,real,longitude latitude,sftgif,land,,area: areacella,,
1.0,Capacity of Soil to Store Water,kg m-2,"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell;  reported as ""missing"" where the land fraction is 0.",,mrsofc,soil_moisture_content_at_field_capacity,,kg m-2,,,,,,,real,longitude latitude,mrsofc,land,,area: areacella,,
1.0,Maximum Root Depth,m,"report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as ""missing"" where the land fraction is 0.",,rootd,root_depth,,m,,0.0,30.0,,,,real,longitude latitude,rootd,land,,area: areacella,,
on ocean grid ,,,,,,,,,,,,,,,,,,,,,,
"The WGOMD has recommended that all ocean fields be saved on the model's native ocean grid.  Many groups will also elect to save the sea ice fields on the ocean grid.  (The alternative is to save sea ice fields on the atmosphere grid.)  If data is ""interpolated"" from its native grid, it is important to preserve certain global mean properties (e.g., the total surface fluxes of heat, momentum, and water mass into the ocean).",,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1.0,Sea Floor Depth,m,Ocean bathymetry.   Reported here is the sea floor depth for present day. Reported as missing for land grid cells., ,deptho,sea_floor_depth_below_geoid,,m,,0.0,10000.0,2000.0,5000.0,,real,longitude latitude,deptho,ocean,,area: areacello,,
